Lodwar,Month,Year
0,Jul,2012
0,Jul,2012
0,Jul,2012
0,Jul,2012
0,Jul,2012
0,Jul,2012
0,Jul,2012
0,Jul,2012
11.3,Jul,2012
0,Jul,2012
0,Jul,2012
0,Jul,2012
0,Jul,2012
0,Jul,2012
0,Jul,2012
0,Jul,2012
0,Jul,2012
4.1,Jul,2012
0.6,Jul,2012
0,Jul,2012
0,Jul,2012
0,Jul,2012
0,Jul,2012
0,Jul,2012
0.01,Aug,2012
0,Aug,2012
0,Aug,2012
0,Aug,2012
0,Aug,2012
0,Aug,2012
0,Aug,2012
1.9,Aug,2012
0,Aug,2012
0,Aug,2012
0,Aug,2012
84,Aug,2012
3.5,Aug,2012
0,Aug,2012
0,Aug,2012
3.9,Aug,2012
0,Aug,2012
0,Aug,2012
0,Aug,2012
0,Aug,2012
0,Aug,2012
0,Aug,2012
0,Aug,2012
0,Aug,2012
0.5,Aug,2012
0,Aug,2012
0,Aug,2012
0,Aug,2012
0,Aug,2012
0,Aug,2012
0,Aug,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
0,Sep,2012
,Sep,2012
0,Oct,2012
0,Oct,2012
0,Oct,2012
0,Oct,2012
0,Oct,2012
0,Oct,2012
0,Oct,2012
0,Oct,2012
0,Oct,2012
0.1,Oct,2012
0,Oct,2012
0.01,Oct,2012
17.7,Oct,2012
0,Oct,2012
0,Oct,2012
0,Oct,2012
0,Oct,2012
0,Oct,2012
0.01,Oct,2012
0,Oct,2012
0,Oct,2012
0,Oct,2012
0,Oct,2012
0,Oct,2012
0,Oct,2012
0,Oct,2012
0,Oct,2012
23.5,Oct,2012
0,Oct,2012
0,Oct,2012
0.5,Oct,2012
0.5,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
19.2,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
0.01,Nov,2012
0.01,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
0,Nov,2012
,Nov,2012
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0.01,Jan,2013
5.2,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Jan,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0.01,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0.01,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
0,Feb,2013
,Feb,2013
,Feb,2013
,Feb,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
1.7,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0,Mar,2013
0.01,Mar,2013
0.01,Mar,2013
15.5,Mar,2013
0,Mar,2013
23.5,Mar,2013
14,Mar,2013
0,Apr,2013
0,Apr,2013
0.01,Apr,2013
22.8,Apr,2013
0,Apr,2013
5.2,Apr,2013
0.01,Apr,2013
0.01,Apr,2013
0,Apr,2013
0.01,Apr,2013
0,Apr,2013
36.2,Apr,2013
0,Apr,2013
0.01,Apr,2013
0,Apr,2013
0,Apr,2013
0,Apr,2013
0,Apr,2013
0,Apr,2013
0,Apr,2013
0,Apr,2013
0,Apr,2013
0,Apr,2013
0,Apr,2013
0,Apr,2013
0,Apr,2013
31.6,Apr,2013
0,Apr,2013
22.1,Apr,2013
0,Apr,2013
,Apr,2013
1.4,May,2013
0,May,2013
1.2,May,2013
0,May,2013
0,May,2013
30.5,May,2013
0,May,2013
0,May,2013
0,May,2013
0,May,2013
0,May,2013
0,May,2013
0,May,2013
0,May,2013
0,May,2013
0,May,2013
0,May,2013
0,May,2013
0,May,2013
0,May,2013
0,May,2013
