2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2.8,16.5,0,0,0,0,22.1,0,12.6,0,1,0,,0
2,0,6.7,0,0,0.6,11.1,0,4.5,2.4,0,0,,0
6.4,0,0,20.6,0,0,0,0,5,0.01,0,0,,0
1.6,0,0,13.5,0,0,10.7,0,1.5,0.01,0,0.01,,0
17.3,0,0,2,0,0.6,10,0.7,2.4,30.1,0.4,0,,0
0,0,0,7.3,0,3.2,27,0.7,10.4,0,1,0,,5.9
9.6,0.3,0.01,2,12.3,0.2,34.8,0.01,37.7,0.6,15.2,0,,3.4
20,0.01,0,0.1,0,4.7,1.2,15.4,72,0,0,0.3,,0.01
0.001,21.2,0,0.01,0,0,0.3,30.1,10.8,0.3,0,0,,0
0.6,9.2,0,9.2,0,0,0,6,15.2,0.01,24.3,0,,0.3
0,0,0,1.6,3.2,0,0.5,0,0.5,1.6,0.3,0,,0
0,67.8,3.8,0,0.01,0,0.2,0,0.01,5.1,11.5,1.5,,0.01
4.8,0,12.6,0,49.4,0,0,0,0.7,0.2,28.2,1.8,,0
0,1,0,0,31.8,0,0.01,0,0,0,26.1,0.01,,0
0,1,29.8,1.8,106.9,0,4.9,13,0,0,12.5,0.9,,0
0,0,1,0,31.7,0,0.01,7.9,2.9,0,14.1,6,,0
3.4,0.8,0,0,18.3,0,7.8,16.7,0,29,17,,0,0
0,0,0,0,0,0,10.2,0,0,51.8,3.8,,6.3,0
0,0.7,0,0,0,0,6.4,15,3.9,0,1.8,,4.5,0
2.7,1.8,3.1,3,0,0.6,0.4,0,0,0,0.3,,0.4,0.01
1.1,1.4,5.7,33.1,0.01,0,0,10.5,0,0.01,21.4,,15,1.4
0.5,0,0,2.1,0,0,2.7,0.5,0,0.01,2.5,,1.5,0
4.1,0,0,9.3,0,2.2,0,0.4,0,8.9,0,,0.01,0
12.6,0,0,3.5,0.01,0,0,0.5,1.5,0.5,0,,5.6,2.4
4,0,0,0.01,0,0,0.01,0.4,0,1.5,0.2,,0.6,0.01
0,0,0.01,0.8,0,0,0,0.3,0,0,0.2,,0,2.1
0,0,0.01,0.7,0,0,5.7,1.8,0.6,0.01,1.4,,0,0
0,0,0.01,1.2,0.2,0.01,0,13.2,0,0,2.2,,0,0
0.01,0,0,1.4,0.6,0,0,1.8,2.7,1.3,0,,0,0
0.6,3.2,0.01,0,0,0.01,5,0,2.1,0,0,,0,0
0,0.6,0,0,0,0,1.2,0,0,0,0,,0,0
0,0,0,0,0,0,0,0,0,0.5,1,,0,0
0,0.01,0.3,0,0,0,0,0,0,5.6,1.6,,0.4,0.01
0,0,0,0,0,3.7,0,0,0,1.1,4.6,,0.5,13.4
0,0.01,13.1,0,0.01,25.9,5.8,0,0.4,0,0.1,,0,43.8
5.5,0,7.5,10.9,0,31.2,0,0,0,0,0,,0,2.7
0,0,0.3,32,4.6,0,0,13.8,0,0,0.5,,0.5,2.7
2.4,0,17.9,11.1,4.4,0.6,0,22.4,0,0.6,0,,1.7,3.7
0,15.6,0,26.3,0,0.7,3.6,0,0,1.4,1.4,,0,0.5
0,2.4,2.5,0.8,2.8,0.01,4.3,8.8,0,0.4,1.3,,0.01,0
0,0.6,0,0.01,0,5.5,0.01,1.3,0.01,0.01,0,,0.8,0
0,4,4.3,0.01,0,8.7,0,8.4,0,5.9,0,,1.3,0
0,4,0,0.6,0,0,0.7,3.4,0.01,1.6,0.01,,0.5,3.4
0,0,0,0,0.8,0,1,4.8,0.01,0.4,6.1,,0.01,0
0,0,0,0,15.5,0,0,12.2,0.5,0.3,1.7,,0.6,0.5
0,0.01,0,0,0.01,1.2,0,5.7,0,0.01,3.9,,14.5,0
0.01,0,0,0,0.01,0.4,0,15.4,0,0.01,0,3,11.2,0.2
0,0,6.4,0,0,0,0,2.5,0,1.3,0,7.6,7.5,0
